name,exterior,statTrak,souvenir,lowestPrice,marketHashName,quantity,dopplerClassName
Sticker | Ninjas in Pyjamas (Holo) | 2020 RMR,,False,False,0.24,Sticker | Ninjas in Pyjamas (Holo) | 2020 RMR,177,
Sticker | Counter-Tech,,False,False,0.52,Sticker | Counter-Tech,176,
PP-Bizon | Cold Cell,MINIMAL_WEAR,False,False,0.85,PP-Bizon | Cold Cell (Minimal Wear),174,
USP-S | Cortex,FIELD_TESTED,False,False,2.7,USP-S | Cortex (Field-Tested),174,
AK-47 | Uncharted,FIELD_TESTED,False,False,0.27,AK-47 | Uncharted (Field-Tested),174,
MP9 | Mount Fuji,FIELD_TESTED,False,False,4.99,MP9 | Mount Fuji (Field-Tested),173,
MP5-SD | Neon Squeezer,BATTLE_SCARRED,False,False,0.26,MP5-SD | Neon Squeezer (Battle-Scarred),173,
Sticker | XANTARES | Antwerp 2022,,False,False,0.28,Sticker | XANTARES | Antwerp 2022,172,
MAC-10 | Candy Apple,FACTORY_NEW,False,False,0.66,MAC-10 | Candy Apple (Factory New),170,
M4A1-S | Wash me plz,MINIMAL_WEAR,False,False,0.35,M4A1-S | Wash me plz (Minimal Wear),170,
Sticker | GamerLegion (Glitter) | Rio 2022,,False,False,0.19,Sticker | GamerLegion (Glitter) | Rio 2022,170,
Sticker | PGL (Glitter) | Antwerp 2022,,False,False,0.94,Sticker | PGL (Glitter) | Antwerp 2022,169,
CS20 Sticker Capsule,,False,False,0.81,CS20 Sticker Capsule,169,
Desert Eagle | Tilted,MINIMAL_WEAR,False,False,1.18,Desert Eagle | Tilted (Minimal Wear),168,
Sticker | Team Liquid | Berlin 2019,,False,False,0.18,Sticker | Team Liquid | Berlin 2019,167,
Sticker | Gold Web,,False,False,0.8,Sticker | Gold Web,167,
Sticker | adamS (Glitter) | Copenhagen 2024,,False,False,0.34,Sticker | adamS (Glitter) | Copenhagen 2024,167,
USP-S | Forest Leaves,FIELD_TESTED,False,False,0.11,USP-S | Forest Leaves (Field-Tested),167,
Kawaii Killer Terrorist,,False,False,0.65,Sticker | Kawaii Killer Terrorist,166,
SSG 08 | Mainframe 001,MINIMAL_WEAR,False,False,0.1,SSG 08 | Mainframe 001 (Minimal Wear),165,
Sticker | Lefty (T),,False,False,0.11,Sticker | Lefty (T),164,
Krakow 2017 Challengers Autograph Capsule,,False,False,29.65,Krakow 2017 Challengers Autograph Capsule,164,
Autograph Capsule | Team EnVyUs | Cologne 2015,,False,False,5.8,Autograph Capsule | Team EnVyUs | Cologne 2015,164,
