name,slope
USP-S__Black_Lotus_(Minimal_Wear),-0.0064
Glock-18__Bullet_Queen_(Field-Tested),-0.0065
AK-47__Crossfade_(Minimal_Wear),-0.0066
M4A4__In_Living_Color_(Field-Tested),-0.0066
MP9__Starlight_Protector_(Field-Tested),-0.007
USP-S__Alpine_Camo_(Minimal_Wear),-0.0072
AK-47__Phantom_Disruptor_(Field-Tested),-0.0074
Glock-18__Vogue_(Field-Tested),-0.0076
MP9__Buff_Blue_(Factory_New),-0.0076
USP-S__Ticket_to_Hell_(Factory_New),-0.0079
AWP__Black_Nile_(Factory_New),-0.0081
"Music_Kit__bbno$,_u_mad!",-0.0082
StatTrak™_USP-S__Ticket_to_Hell_(Field-Tested),-0.0083
M4A4__In_Living_Color_(Minimal_Wear),-0.0084
AK-47__Slate_(Factory_New),-0.0087
AK-47__Ice_Coaled_(Field-Tested),-0.0088
M4A1-S__Emphorosaur-S_(Factory_New),-0.0093
AK-47__Legion_of_Anubis_(Minimal_Wear),-0.0093
M4A1-S__Nightmare_(Minimal_Wear),-0.0093
M4A4__Spider_Lily_(Field-Tested),-0.0097
M4A4__Tooth_Fairy_(Minimal_Wear),-0.0102
M4A1-S__Player_Two_(Field-Tested),-0.0112
AWP__Duality_(Minimal_Wear),-0.0117
AWP__Chromatic_Aberration_(Field-Tested),-0.0122
Glock-18__Vogue_(Factory_New),-0.0127
StatTrak™_USP-S__Ticket_to_Hell_(Minimal_Wear),-0.013
StatTrak™_M4A1-S__Emphorosaur-S_(Minimal_Wear),-0.0131
Zeus_x27__Olympus_(Minimal_Wear),-0.0131
AK-47__Ice_Coaled_(Minimal_Wear),-0.0134
StatTrak™_Glock-18__Vogue_(Minimal_Wear),-0.0135
StatTrak™_M4A1-S__Emphorosaur-S_(Factory_New),-0.0135
AK-47__Searing_Rage_(Battle-Scarred),-0.0141
Glock-18__Shinobu_(Well-Worn),-0.0144
MP9__Mount_Fuji_(Minimal_Wear),-0.0144
Glock-18__Vogue_(Minimal_Wear),-0.0146
MP9__Starlight_Protector_(Minimal_Wear),-0.0166
CS:GO_Weapon_Case,-0.0167
Zeus_x27__Olympus_(Field-Tested),-0.017
StatTrak™_AK-47__Ice_Coaled_(Field-Tested),-0.0173
USP-S__Jawbreaker_(Well-Worn),-0.0177
M4A1-S__Black_Lotus_(Field-Tested),-0.0183
Cmdr._Frank_'Wet_Sox'_Baroud__SEAL_Frogman,-0.0187
AK-47__Nightwish_(Field-Tested),-0.0199
M4A4__Temukau_(Field-Tested),-0.0202
AK-47__Legion_of_Anubis_(Field-Tested),-0.0213
AWP__Duality_(Factory_New),-0.0219
USP-S__Jawbreaker_(Field-Tested),-0.022
M4A1-S__Black_Lotus_(Minimal_Wear),-0.0226
Desert_Eagle__Heat_Treated_(Minimal_Wear),-0.0234
AK-47__Head_Shot_(Field-Tested),-0.0235
AK-47__Asiimov_(Field-Tested),-0.0243
AWP__Hyper_Beast_(Minimal_Wear),-0.0244
Zeus_x27__Electric_Blue_(Factory_New),-0.0255
AK-47__Searing_Rage_(Well-Worn),-0.0258
USP-S__Printstream_(Field-Tested),-0.0272
AK-47__Nightwish_(Minimal_Wear),-0.0273
UMP-45__K.O._Factory_(Field-Tested),-0.0295
AK-47__Searing_Rage_(Field-Tested),-0.0311
M4A1-S__Black_Lotus_(Factory_New),-0.033
Glock-18__Shinobu_(Battle-Scarred),-0.0334
AK-47__Head_Shot_(Minimal_Wear),-0.0344
Glock-18__Ocean_Topo_(Factory_New),-0.0349
Desert_Eagle__Printstream_(Field-Tested),-0.0357
StatTrak™_M4A1-S__Black_Lotus_(Minimal_Wear),-0.036
AK-47__Wintergreen_(Minimal_Wear),-0.0365
AK-47__Frontside_Misty_(Minimal_Wear),-0.0367
★_Driver_Gloves__Racing_Green_(Field-Tested),-0.0425
Glock-18__Shinobu_(Field-Tested),-0.0433
AK-47__Wintergreen_(Field-Tested),-0.0462
AK-47__Inheritance_(Minimal_Wear),-0.0466
AK-47__Neon_Rider_(Field-Tested),-0.0472
AK-47__The_Empress_(Minimal_Wear),-0.0476
AK-47__The_Outsiders_(Field-Tested),-0.0478
Glock-18__Gold_Toof_(Field-Tested),-0.0495
