name,doppler_phase,sales_in_last_x_days
Desert Eagle | Mecha Industries (Field-Tested),,29
Desert Eagle | Calligraffiti (Minimal Wear),,29
Nova | Rising Sun (Well-Worn),,29
Galil AR | Control (Minimal Wear),,29
Desert Eagle | Mulberry (Field-Tested),,29
Tec-9 | Fuel Injector (Field-Tested),,29
Sticker | Bolt Energy (Foil),,29
R8 Revolver | Tango (Minimal Wear),,29
AK-47 | VariCamo Grey (Factory New),,29
Sawed-Off | Analog Input (Field-Tested),,29
AWP | Black Nile (Factory New),,29
Stockholm 2021 Finalists Autograph Capsule,,28
P90 | Wave Breaker (Minimal Wear),,28
AWP | Mortis (Minimal Wear),,28
Glock-18 | Umbral Rabbit (Field-Tested),,28
Tec-9 | Fubar (Field-Tested),,28
SG 553 | Ol' Rusty (Factory New),,28
MAG-7 | Heaven Guard (Factory New),,28
MAC-10 | Pipsqueak (Minimal Wear),,28
Desert Eagle | Trigger Discipline (Field-Tested),,28
MAC-10 | Oceanic (Field-Tested),,28
Desert Eagle | Light Rail (Minimal Wear),,28
MAC-10 | Oceanic (Minimal Wear),,28
MP7 | Anodized Navy (Factory New),,28
MP7 | Bloodsport (Field-Tested),,28
UMP-45 | Neo-Noir (Field-Tested),,28
M4A4 | Spider Lily (Field-Tested),,28
Sticker | Web Stuck,,28
Sticker | FURIA (Glitter) | Copenhagen 2024,,28
Negev | Bulkhead (Factory New),,28
MAC-10 | Disco Tech (Field-Tested),,28
Sticker | Taste Bud,,28
CZ75-Auto | Distressed (Minimal Wear),,27
"Music Kit | Denzel Curry, ULTIMATE",,27
Desert Eagle | Corinthian (Factory New),,27
AWP | Black Nile (Field-Tested),,27
R8 Revolver | Amber Fade (Field-Tested),,27
Sticker | From The Deep (Glitter),,27
MP7 | Motherboard (Factory New),,27
Galil AR | Chromatic Aberration (Field-Tested),,27
MP7 | Urban Hazard (Minimal Wear),,27
Sticker | drop (Holo) | Antwerp 2022,,27
M4A4 | Magnesium (Minimal Wear),,27
Desert Eagle | Light Rail (Field-Tested),,27
XM1014 | Irezumi (Minimal Wear),,27
StatTrak™ M4A1-S | Emphorosaur-S (Field-Tested),,27
Chem-Haz Capitaine | Gendarmerie Nationale,,27
MAC-10 | Saibā Oni (Factory New),,27
M4A1-S | Mud-Spec (Minimal Wear),,27
MP5-SD | Statics (Minimal Wear),,26
Sticker | Astralis | Katowice 2019,,26
Five-SeveN | Sky Blue (Factory New),,26
AK-47 | Slate (Battle-Scarred),,26
MP7 | Just Smile (Field-Tested),,26
★ Driver Gloves | Racing Green (Field-Tested),,26
Glock-18 | Shinobu (Well-Worn),,26
Cmdr. Mae 'Dead Cold' Jamison | SWAT,,26
Sticker | Spirit (Holo) | 2020 RMR,,26
Five-SeveN | Urban Hazard (Factory New),,26
M4A4 | Turbine (Minimal Wear),,26
Sticker | FURIA (Holo) | Paris 2023,,26
Glock-18 | Nuclear Garden (Minimal Wear),,26
Sticker | Flipsid3 Tactics (Holo) | MLG Columbus 2016,,26
AWP | Atheris (Well-Worn),,26
SG 553 | Dragon Tech (Field-Tested),,26
Desert Eagle | Oxide Blaze (Factory New),,26
Sticker | cadiaN (Holo) | Stockholm 2021,,26
XM1014 | Irezumi (Factory New),,26
Sticker | FaZe Clan (Glitter) | Copenhagen 2024,,26
Copenhagen 2024 Challengers Autograph Capsule,,26
AWP | Fever Dream (Minimal Wear),,25
AWP | Crakow! (Field-Tested),,25
Zeus x27 | Olympus (Minimal Wear),,25
Glock-18 | Winterized (Factory New),,25
M4A1-S | Player Two (Minimal Wear),,25
Katowice 2019 Legends Autograph Capsule,,25
Charm | Chicken Lil',,25
FAMAS | Halftone Wash (Factory New),,25
P250 | Franklin (Field-Tested),,25
P250 | Cassette (Factory New),,25
Sticker | MOUZ (Holo) | Paris 2023,,25
Sticker | s1mple | Stockholm 2021,,25
Chem-Haz Specialist | SWAT,,25
Desert Eagle | Kumicho Dragon (Field-Tested),,25
Tec-9 | Decimator (Field-Tested),,25
USP-S | Printstream (Battle-Scarred),,25
USP-S | Check Engine (Minimal Wear),,25
USP-S | Neo-Noir (Field-Tested),,25
MP5-SD | Desert Strike (Field-Tested),,25
StatTrak™ Glock-18 | Umbral Rabbit (Factory New),,24
M4A4 | Evil Daimyo (Minimal Wear),,24
M4A4 | In Living Color (Field-Tested),,24
USP-S | Black Lotus (Field-Tested),,24
